customer_id,company_name,country,company_size_band,signup_date,acquisition_channel,signup_date_ambiguous
1,"Rodriguez, Figueroa and Sanchez",India,1-10,2024-07-17,Google Ads,False
2,Doyle Ltd,United Kingdom,1-10,2023-03-03,Google Ads,True
3,"Mcclain, Miller and Henderson",United States,51-200,2023-01-14,Google Ads,False
4,Davis and Sons,Canada,1-10,2023-07-29,Google Ads,False
5,"Guzman, Hoffman and Baldwin",India,1000+,2023-09-13,Meta Ads,False
6,"Gardner, Robinson and Lawrence",United Kingdom,51-200,2023-04-04,Referral,False
7,Blake and Sons,United States,1-10,2025-01-17,Meta Ads,False
8,"Henderson, Ramirez and Lewis",India,51-200,2025-12-29,Google Ads,False
9,Garcia-James,India,51-200,2024-04-14,,False
10,Abbott-Munoz,United States,201-1000,2025-03-21,Organic Search,False
11,Blair PLC,India,11-50,2025-03-28,Direct,False
12,Dudley Group,Australia,51-200,2023-11-24,LinkedIn Ads,False
13,Arnold Ltd,United Kingdom,51-200,2023-08-23,LinkedIn Ads,False
14,"Mcclure, Ward and Lee",United States,1-10,2025-07-18,Organic Search,False
15,Williams and Sons,United Kingdom,51-200,2024-09-03,LinkedIn Ads,True
16,Galloway-Wyatt,United Kingdom,11-50,2024-10-25,Google Ads,False
17,James Group,United States,1-10,2023-06-11,LinkedIn Ads,True
18,"Flowers, Martin and Kelly",United States,1-10,2023-12-05,Referral,True
19,"Adams, Zuniga and Wong",India,11-50,2025-02-03,LinkedIn Ads,False
20,"Reid, Ferguson and Sanchez",United States,,2024-03-27,,False
21,Gray-Mayo,Australia,1-10,2025-11-18,Organic Search,False
22,"Watts, Robinson and Nguyen",United States,1-10,2025-04-13,Google Ads,False
23,Perez Inc,Australia,1-10,2023-07-21,Organic Search,False
24,Morales-Jones,United States,11-50,2023-10-15,Meta Ads,False
25,"Walter, Edwards and Rios",Australia,1-10,2023-07-20,Direct,False
26,Wilkerson-Day,United States,,2025-12-09,LinkedIn Ads,True
27,Baker and Sons,United States,11-50,2024-07-08,Direct,True
28,"Hoffman, Baker and Richards",United States,1000+,2024-03-21,Organic Search,False
29,"Ross, Robinson and Bright",United States,,2025-10-26,LinkedIn Ads,False
30,"Snyder, Campos and Callahan",United States,11-50,2024-04-26,Direct,False
31,Burton Ltd,India,1-10,2025-12-06,Meta Ads,False
32,Carlson-Cruz,United States,1-10,2025-07-25,Referral,False
33,"Ferrell, Rice and Maddox",United States,1-10,2025-11-02,Direct,False
34,Frazier Inc,United States,11-50,2024-09-11,,False
35,"Dyer, Potter and Mack",Canada,1-10,2023-10-03,Referral,False
36,Rodriguez-Graham,India,1-10,2024-12-03,Organic Search,False
37,Smith-Bowen,United States,1-10,2024-07-20,Meta Ads,False
38,"Baker, Mason and White",India,11-50,2025-05-25,Google Ads,False
39,Harrell LLC,United Kingdom,11-50,2023-10-31,Google Ads,False
40,"Romero, Gonzalez and Brooks",Australia,51-200,2024-05-26,Meta Ads,False
41,Ryan PLC,Canada,1000+,2023-11-29,,False
42,George Group,India,1-10,2024-05-23,Referral,False
43,Rodriguez LLC,United States,1-10,2024-12-17,,False
44,Allen-Allen,United States,1000+,2023-05-23,Meta Ads,False
45,"Arroyo, Miller and Tucker",Canada,1-10,2024-06-18,Direct,False
46,Spence PLC,United States,11-50,2025-06-12,LinkedIn Ads,False
47,Anderson Group,United States,11-50,2023-01-04,Referral,True
48,"Martin, Rose and Obrien",United States,11-50,2024-11-07,Organic Search,False
49,Hickman Ltd,India,51-200,2025-04-04,Organic Search,True
