subscription_id,customer_id,plan_id,start_date,end_date,billing_cycle,status
1,1,2,2024-07-17,2024-12-06,monthly,cancelled
2,2,1,2023-03-03,,monthly,active
3,3,1,2023-01-14,2024-04-29,annual,cancelled
4,3,2,2024-06-19,,annual,active
5,4,1,2023-07-29,,monthly,active
6,5,1,2023-09-13,,monthly,active
7,6,2,2023-04-04,,annual,active
8,7,1,2025-01-17,,annual,active
9,8,2,2025-12-29,,annual,active
10,9,1,2024-04-14,,annual,active
11,10,3,2025-03-21,,monthly,active
12,11,1,2025-03-28,,annual,active
13,12,3,2023-11-24,2024-07-30,monthly,cancelled
14,13,1,2023-08-23,2023-11-01,monthly,cancelled
15,14,2,2025-07-18,,monthly,active
16,15,1,2024-03-09,2024-04-23,annual,cancelled
17,15,2,2024-05-24,,annual,active
18,16,2,2024-10-25,2024-11-22,annual,cancelled
19,16,2,2025-02-20,,annual,active
20,17,2,2023-06-11,2025-04-01,monthly,cancelled
21,18,2,2023-05-12,,monthly,active
22,19,1,2025-02-03,,monthly,active
23,20,1,2024-03-27,2024-08-31,monthly,cancelled
24,20,3,2024-10-10,,monthly,active
25,21,2,2025-11-18,,monthly,active
26,22,1,2025-04-13,,monthly,active
27,23,1,2023-07-21,,annual,active
28,24,1,2023-10-15,,annual,active
29,25,2,2023-07-20,2023-08-23,monthly,cancelled
30,26,3,2025-09-12,,monthly,active
31,27,1,2024-08-07,2025-11-08,monthly,cancelled
32,28,3,2024-03-21,,monthly,active
33,29,2,2025-10-26,2025-12-20,monthly,cancelled
34,30,2,2024-04-26,,annual,active
35,31,1,2025-12-06,,annual,active
36,32,2,2025-07-25,2025-09-13,annual,cancelled
37,33,1,2025-11-02,,monthly,active
38,34,2,2024-09-11,2024-10-31,monthly,cancelled
39,34,1,2024-12-21,,monthly,active
40,35,2,2023-10-03,,annual,active
41,36,1,2024-03-12,,annual,active
42,37,2,2024-07-20,2024-11-14,annual,cancelled
43,38,2,2025-05-25,2025-12-19,annual,cancelled
44,39,1,2023-10-31,,monthly,active
45,40,3,2024-05-26,,annual,active
46,41,3,2023-11-29,,annual,active
47,42,2,2024-05-23,,monthly,active
48,43,1,2024-12-17,2025-05-31,monthly,cancelled
49,44,2,2023-05-23,,monthly,active
50,45,1,2024-06-18,2024-10-08,monthly,cancelled
51,46,2,2025-06-12,,monthly,active
52,47,2,2023-04-01,2023-12-14,monthly,cancelled
53,48,1,2024-11-07,2024-12-19,annual,cancelled
54,48,1,2025-04-08,,annual,active
55,49,2,2025-04-04,,monthly,active
56,50,1,2024-09-08,2024-11-18,monthly,cancelled
57,50,1,2024-11-12,,monthly,active
58,51,1,2024-03-13,2024-07-30,monthly,cancelled
59,52,3,2023-11-07,,monthly,active
60,53,3,2024-05-16,,monthly,active
61,54,1,2025-10-09,,monthly,active
62,55,2,2023-12-27,2025-01-29,annual,cancelled
63,56,2,2025-12-23,,monthly,active
64,57,3,2025-02-07,,annual,active
65,58,1,2025-03-12,2025-10-01,annual,cancelled
66,59,2,2023-06-15,2024-02-15,monthly,cancelled
67,60,2,2025-08-12,2025-09-22,annual,cancelled
68,61,1,2025-02-18,,monthly,active
69,62,1,2025-09-26,,annual,active
70,63,3,2023-09-19,,monthly,active
71,64,2,2023-10-05,,monthly,active
72,65,1,2024-07-23,,annual,active
73,66,1,2024-12-17,,annual,active
74,67,2,2023-11-02,2023-12-20,monthly,cancelled
75,67,2,2024-03-18,,monthly,active
76,68,2,2025-01-25,,monthly,active
77,69,3,2023-02-22,2023-04-09,monthly,cancelled
78,70,2,2023-07-28,,annual,active
79,71,1,2025-01-28,,monthly,active
80,72,1,2025-07-30,,monthly,active
81,73,1,2025-09-17,,monthly,active
82,74,3,2024-07-25,,monthly,active
83,75,1,2024-10-27,,monthly,active
84,76,1,2023-06-25,,monthly,active
85,77,1,2025-07-06,,annual,active
86,78,1,2025-08-27,,monthly,active
87,79,1,2024-09-19,,annual,active
88,80,2,2024-07-20,,monthly,active
89,81,1,2024-04-10,,monthly,active
90,82,1,2023-09-16,2024-11-15,monthly,cancelled
91,83,3,2024-11-28,,monthly,active
92,84,1,2023-04-20,,monthly,active
93,85,3,2024-04-07,,monthly,active
94,86,2,2023-07-23,2023-11-17,monthly,cancelled
95,87,1,2023-11-17,2024-01-10,monthly,cancelled
