customer_id,company_name,country,company_size_band,signup_date,acquisition_channel
1,"Rodriguez, Figueroa and Sanchez",India,1-10,2024-07-17,Google Ads
2,Doyle Ltd,United Kingdom,1-10,03/03/2023,Google Ads
3,"Mcclain, Miller and Henderson",US,51-200,14/01/2023,Google Ads
4,Davis and Sons,CA,1-10,2023-07-29,Google Ads
5,"Guzman, Hoffman and Baldwin",Bharat,1000+,13-Sep-2023,Meta Ads
6,"Gardner, Robinson and Lawrence",United Kingdom,51-200,2023-04-04,Referral
7,Blake and Sons,U.S.A,1-10,2025-01-17,Meta Ads
8,"Henderson, Ramirez and Lewis",India,51-200,29/12/2025,Google Ads
9,Garcia-James,India,51-200,14-Apr-2024,
10,Abbott-Munoz,U.S.A,201-1000,21-Mar-2025,Organic Search
11,Blair PLC,IN,11-50,2025-03-28,Direct
12,Dudley Group,Australia,51-200,11/24/2023,LinkedIn Ads
13,Arnold Ltd,United Kingdom,51-200,2023-08-23,LinkedIn Ads
14,"Mcclure, Ward and Lee",USA,1-10,18/07/2025,Organic Search
15,Williams and Sons,United Kingdom,51-200,03/09/2024,LinkedIn Ads
16,Galloway-Wyatt,United Kingdom,11-50,25-Oct-2024,Google Ads
17,James Group,USA,1-10,11/06/2023,LinkedIn Ads
18,"Flowers, Martin and Kelly",U.S.A,1-10,05/12/2023,Referral
19,"Adams, Zuniga and Wong",IN,11-50,03-Feb-2025,LinkedIn Ads
20,"Reid, Ferguson and Sanchez",USA,,2024-03-27,
21,Gray-Mayo,Australia,1-10,11/18/2025,Organic Search
22,"Watts, Robinson and Nguyen",U.S.A,1-10,04/13/2025,Google Ads
23,Perez Inc,Australia,1-10,21/07/2023,Organic Search
24,Morales-Jones,U.S.A,11-50,10/15/2023,Meta Ads
25,"Walter, Edwards and Rios",AU,1-10,20/07/2023,Direct
26,Wilkerson-Day,U.S.A,,09/12/2025,LinkedIn Ads
27,Baker and Sons,U.S.A,11-50,08/07/2024,Direct
28,"Hoffman, Baker and Richards",US,1000+,2024-03-21,Organic Search
29,"Ross, Robinson and Bright",U.S.A,,26/10/2025,LinkedIn Ads
30,"Snyder, Campos and Callahan",United States,11-50,2024-04-26,Direct
31,Burton Ltd,IN,1-10,06-Dec-2025,Meta Ads
32,Carlson-Cruz,US,1-10,2025-07-25,Referral
33,"Ferrell, Rice and Maddox",USA,1-10,02-Nov-2025,Direct
34,Frazier Inc,U.S.A,11-50,11-Sep-2024,
35,"Dyer, Potter and Mack",Canada,1-10,03-Oct-2023,Referral
36,Rodriguez-Graham,Bharat,1-10,2024-12-03,Organic Search
37,Smith-Bowen,U.S.A,1-10,20/07/2024,Meta Ads
38,"Baker, Mason and White",Bharat,11-50,25/05/2025,Google Ads
39,Harrell LLC,U.K.,11-50,2023-10-31,Google Ads
40,"Romero, Gonzalez and Brooks",Australia,51-200,26/05/2024,Meta Ads
41,Ryan PLC,Canada,1000+,29-Nov-2023,
42,George Group,IN,1-10,05/23/2024,Referral
43,Rodriguez LLC,U.S.A,1-10,17/12/2024,
44,Allen-Allen,US,1000+,23-May-2023,Meta Ads
