invoice_id,subscription_id,invoice_date,amount,payment_status
1,1,2024-07-17,79.0,failed
2,1,2024-08-17,79.0,paid
3,1,17/09/2024,0.79,paid
4,1,2024-10-17,7900.0,failed
5,1,11/17/2024,79.0,paid
6,2,2023-03-03,29.0,paid
7,2,2023-04-03,29.0,paid
8,2,2023-05-03,29.0,failed
9,2,2023-06-03,29.0,paid
10,2,2023-07-03,29.0,paid
11,2,08/03/2023,29.0,paid
12,2,03/09/2023,29.0,paid
13,2,2023-10-03,29.0,paid
14,2,11/03/2023,29.0,paid
15,2,2023-12-03,29.0,paid
16,2,2024-01-03,29.0,paid
17,2,2024-02-03,29.0,paid
18,2,2024-03-03,29.0,paid
19,2,03-Apr-2024,29.0,paid
20,2,2024-05-03,$29.00,paid
21,2,2024-06-03,29.0,paid
22,2,03-Jul-2024,29.0,paid
23,2,2024-08-03,29.0,paid
24,2,2024-09-03,29.0,paid
25,2,2024-10-03,29.0,paid
26,2,2024-11-03,29.0,failed
27,2,2024-12-03,29.0,failed
28,2,2025-01-03,29.0,paid
29,2,2025-02-03,29.0,paid
30,2,2025-03-03,29.0,paid
31,2,2025-04-03,$29.00,paid
32,2,03/05/2025,29.0,paid
33,2,2025-06-03,29.0,paid
34,2,07/03/2025,29.0,paid
35,2,2025-08-03,29.0,paid
36,2,2025-09-03,29.0,paid
37,2,2025-10-03,$29.00,paid
38,2,03/11/2025,29.0,paid
39,2,2025-12-03,29.0,paid
40,3,01/14/2023,290.0,paid
41,3,2024-01-14,290.0,paid
42,4,2024-06-19,790.0,paid
43,4,2025-06-19,790.0,paid
44,5,2023-07-29,29.0,paid
45,5,29/08/2023,29.0,paid
46,5,2023-09-29,29.0,paid
47,5,2023-10-29,$29.00,paid
48,5,2023-11-29,29.0,paid
49,5,29-Dec-2023,29.0,paid
50,5,2024-01-29,29.0,paid
51,5,02/29/2024,29.0,paid
52,5,2024-03-29,29.0,paid
53,5,2024-04-29,0.29,paid
54,5,2024-05-29,29.0,paid
55,5,2024-06-29,29.0,paid
56,5,2024-07-29,29.0,paid
57,5,08/29/2024,29.0,paid
58,5,2024-09-29,29.0,paid
59,5,2024-10-29,29.0,paid
60,5,11/29/2024,29.0,paid
61,5,29/12/2024,$29.00,paid
62,5,29/01/2025,29.0,paid
63,5,2025-02-28,29.0,paid
64,5,2025-03-28,29.0,paid
65,5,04/28/2025,29.0,paid
66,5,28/05/2025,29.0,paid
67,5,06/28/2025,29.0,paid
68,5,2025-07-28,29.0,paid
69,5,2025-08-28,$29.00,paid
70,5,2025-09-28,$29.00,failed
71,5,28/10/2025,2900.0,paid
72,5,2025-11-28,29.0,paid
73,5,2025-12-28,29.0,failed
74,6,13/09/2023,29.0,failed
75,6,2023-10-13,29.0,paid
76,6,11/13/2023,29.0,paid
77,6,2023-12-13,29.0,paid
78,6,2024-01-13,29.0,paid
79,6,2024-02-13,29.0,paid
80,6,2024-03-13,29.0,paid
81,6,2024-04-13,29.0,paid
82,6,2024-05-13,29.0,paid
83,6,2024-06-13,29.0,paid
84,6,13-Jul-2024,29.0,paid
85,6,2024-08-13,29.0,paid
86,6,2024-09-13,29.0,paid
87,6,10/13/2024,29.0,paid
88,6,2024-11-13,29.0,paid
89,6,2024-12-13,29.0,paid
90,6,13-Jan-2025,29.0,paid
91,6,2025-02-13,29.0,paid
92,6,2025-03-13,29.0,paid
93,6,2025-04-13,29.0,paid
94,6,05/13/2025,29.0,paid
95,6,2025-06-13,29.0,failed
96,6,13/07/2025,$29.00,paid
97,6,2025-08-13,29.0,paid
98,6,2025-09-13,29.0,paid
99,6,2025-10-13,29.0,paid
100,6,2025-11-13,29.0,paid
101,6,13-Dec-2025,29.0,paid
102,7,2023-04-04,790.0,failed
103,7,04/04/2024,790.0,paid
104,7,04/04/2025,790.0,paid
105,8,01/17/2025,290.0,paid
106,9,12/29/2025,79000.0,paid
107,10,2024-04-14,290.0,paid
108,10,2025-04-14,290.0,paid
109,11,21-Mar-2025,$199.00,paid
110,11,2025-04-21,199.0,paid
111,11,2025-05-21,$199.00,paid
112,11,21/06/2025,$199.00,paid
113,11,2025-07-21,199.0,paid
114,11,2025-08-21,199.0,paid
115,11,21-Sep-2025,199.0,paid
116,11,21-Oct-2025,199.0,paid
117,11,2025-11-21,199.0,paid
118,11,2025-12-21,199.0,paid
119,12,2025-03-28,290.0,paid
120,13,11/24/2023,199.0,paid
121,13,2023-12-24,199.0,paid
122,13,2024-01-24,199.0,paid
123,13,2024-02-24,199.0,paid
124,13,2024-03-24,199.0,paid
125,13,24-Apr-2024,$199.00,paid
126,13,05/24/2024,199.0,paid
127,13,2024-06-24,199.0,paid
128,13,24-Jul-2024,199.0,paid
129,14,2023-08-23,29.0,paid
130,14,2023-09-23,29.0,paid
131,14,2023-10-23,29.0,paid
132,15,2025-07-18,79.0,paid
133,15,2025-08-18,79.0,paid
134,15,2025-09-18,79.0,paid
135,15,2025-10-18,79.0,paid
136,15,18-Nov-2025,79.0,paid
137,15,18-Dec-2025,79.0,paid
138,16,2024-03-09,290.0,paid
139,17,24/05/2024,790.0,paid
140,17,05/24/2025,790.0,paid
141,18,25/10/2024,790.0,paid
142,19,02/20/2025,790.0,paid
143,20,2023-11-06,79.0,paid
144,20,12/06/2023,79.0,failed
145,20,2024-01-06,79.0,paid
146,20,2024-02-06,7900.0,refunded
147,20,2024-03-06,79.0,paid
148,20,2024-04-06,79.0,paid
149,20,2024-05-06,79.0,paid
150,20,06/06/2024,79.0,paid
151,20,06-Jul-2024,79.0,paid
152,20,2024-08-06,79.0,paid
153,20,06/09/2024,$79.00,paid
154,20,06-Oct-2024,79.0,paid
155,20,11/06/2024,$79.00,paid
156,20,2024-12-06,79.0,paid
157,20,01/06/2025,79.0,paid
158,20,2025-02-06,79.0,paid
159,20,2025-03-06,79.0,paid
160,21,2023-12-05,79.0,paid
161,21,05-Jan-2024,79.0,paid
162,21,2024-02-05,79.0,paid
163,21,05/03/2024,79.0,paid
164,21,2024-04-05,79.0,paid
165,21,05-May-2024,$79.00,paid
166,21,2024-06-05,79.0,paid
