subscription_id,customer_id,plan_id,start_date,end_date,billing_cycle,status
1,1,2,07/17/2024,2024-12-06,monthly,cancelled
2,2,1,03/03/2023,,monthly,active
3,3,1,01/14/2023,2024-04-29,annual,cancelled
4,3,2,2024-06-19,,annual,active
5,4,1,29-Jul-2023,,monthly,active
6,5,1,13/09/2023,,monthly,active
7,6,2,2023-04-04,,annual,active
8,7,1,17-Jan-2025,,annual,active
9,8,2,12/29/2025,,annual,active
10,9,1,2024-04-14,,annual,active
11,10,3,21-Mar-2025,,monthly,active
12,11,1,28/03/2025,,annual,active
13,12,3,24-Nov-2023,2024-07-30,monthly,cancelled
14,13,1,23/08/2023,2023-11-01,monthly,cancelled
15,14,2,2025-07-18,,monthly,active
16,15,1,2024-03-09,2024-04-23,annual,cancelled
17,15,2,24/05/2024,,annual,active
18,16,2,25-Oct-2024,2024-11-22,annual,cancelled
19,16,2,20-Feb-2025,,annual,active
20,17,2,11/06/2023,2025-04-01,monthly,cancelled
21,18,2,12/05/2023,,monthly,active
22,19,1,2025-02-03,,monthly,active
23,20,1,27/03/2024,2024-08-31,monthly,cancelled
24,20,3,10/10/2024,,monthly,active
25,21,2,2025-11-18,,monthly,active
26,22,1,13/04/2025,,monthly,active
27,23,1,07/21/2023,,annual,active
28,24,1,10/15/2023,,annual,active
29,25,2,20/07/2023,2023-08-23,monthly,cancelled
30,26,3,2025-09-12,,monthly,active
31,27,1,07/08/2024,2025-11-08,monthly,cancelled
32,28,3,2024-03-21,,monthly,active
33,29,2,26-Oct-2025,2025-12-20,monthly,cancelled
34,30,2,04/26/2024,,annual,active
35,31,1,06-Dec-2025,,annual,active
36,32,2,25-Jul-2025,2025-09-13,annual,cancelled
37,33,1,02/11/2025,,monthly,active
38,34,2,2024-09-11,2024-10-31,monthly,cancelled
39,34,1,12/21/2024,,monthly,active
40,35,2,03-Oct-2023,,annual,active
41,36,1,12/03/2024,,annual,active
42,37,2,2024-07-20,2024-11-14,annual,cancelled
43,38,2,25/05/2025,2025-12-19,annual,cancelled
44,39,1,31-Oct-2023,,monthly,active
45,40,3,2024-05-26,,annual,active
46,41,3,29-Nov-2023,,annual,active
47,42,2,2024-05-23,,monthly,active
48,43,1,17-Dec-2024,2025-05-31,monthly,cancelled
49,44,2,2023-05-23,,monthly,active
50,45,1,18-Jun-2024,2024-10-08,monthly,cancelled
51,46,2,2025-06-12,,monthly,active
52,47,2,2023-04-01,2023-12-14,monthly,cancelled
53,48,1,2024-11-07,2024-12-19,annual,cancelled
54,48,1,08/04/2025,,annual,active
55,49,2,04/04/2025,,monthly,active
56,50,1,2024-09-08,2024-11-18,monthly,cancelled
57,50,1,12/11/2024,,monthly,active
58,51,1,2024-03-13,2024-07-30,monthly,cancelled
59,52,3,2023-11-07,,monthly,active
60,53,3,2024-05-16,,monthly,active
61,54,1,09-Oct-2025,,monthly,active
62,55,2,27-Dec-2023,2025-01-29,annual,cancelled
63,56,2,23-Dec-2025,,monthly,active
64,57,3,2025-02-07,,annual,active
65,58,1,12/03/2025,2025-10-01,annual,cancelled
66,59,2,15/06/2023,2024-02-15,monthly,cancelled
67,60,2,12-Aug-2025,2025-09-22,annual,cancelled
68,61,1,2025-02-18,,monthly,active
69,62,1,2025-09-26,,annual,active
70,63,3,19-Sep-2023,,monthly,active
71,64,2,05-Oct-2023,,monthly,active
72,65,1,23/07/2024,,annual,active
73,66,1,17-Dec-2024,,annual,active
74,67,2,02-Nov-2023,2023-12-20,monthly,cancelled
75,67,2,18/03/2024,,monthly,active
76,68,2,01/25/2025,,monthly,active
77,69,3,22/02/2023,2023-04-09,monthly,cancelled
78,70,2,28-Jul-2023,,annual,active
79,71,1,28-Jan-2025,,monthly,active
80,72,1,07/30/2025,,monthly,active
81,73,1,2025-09-17,,monthly,active
82,74,3,25-Jul-2024,,monthly,active
83,75,1,27-Oct-2024,,monthly,active
84,76,1,2023-06-25,,monthly,active
85,77,1,06/07/2025,,annual,active
86,78,1,08/27/2025,,monthly,active
87,79,1,2024-09-19,,annual,active
88,80,2,2024-07-20,,monthly,active
89,81,1,2024-04-10,,monthly,active
90,82,1,16/09/2023,2024-11-15,monthly,cancelled
91,83,3,28/11/2024,,monthly,active
92,84,1,2023-04-20,,monthly,active
93,85,3,07-Apr-2024,,monthly,active
94,86,2,23/07/2023,2023-11-17,monthly,cancelled
95,87,1,17-Nov-2023,2024-01-10,monthly,cancelled
96,88,1,2025-07-18,,monthly,active
97,89,2,11/02/2023,2024-09-03,annual,cancelled
98,90,1,06/18/2025,2025-12-04,monthly,cancelled
99,91,2,2025-06-03,2025-08-03,monthly,cancelled
100,92,2,2023-03-24,2023-07-24,monthly,cancelled
101,92,2,2023-10-30,,monthly,active
102,93,3,04-Oct-2025,2025-11-11,annual,cancelled
103,94,2,23/04/2025,,monthly,active
104,95,2,31/05/2024,2024-09-09,monthly,cancelled
105,96,1,04-Aug-2025,,monthly,active
106,97,1,2024-06-30,,monthly,active
107,98,1,11/21/2023,2024-02-05,monthly,cancelled
108,98,1,13-Apr-2024,,monthly,active
109,99,2,12/11/2023,2024-06-05,monthly,cancelled
110,100,1,07/24/2025,2025-12-09,monthly,cancelled
111,101,2,2025-04-29,,annual,active
112,102,3,29/09/2025,2025-12-17,monthly,cancelled
113,103,3,2024-01-22,,monthly,active
114,104,1,02/19/2025,,monthly,active
115,105,2,10/25/2025,,monthly,active
116,106,2,01-Feb-2023,2025-01-04,annual,cancelled
117,107,2,2024-11-24,,monthly,active
118,108,2,2023-03-15,,monthly,active
119,109,3,2023-07-21,2025-02-10,annual,cancelled
120,110,2,2024-10-26,,monthly,active
121,111,1,2023-12-15,2024-05-19,monthly,cancelled
122,111,2,11/06/2024,,monthly,active
123,112,2,20/04/2024,2025-05-27,monthly,cancelled
124,112,1,23/08/2025,,monthly,active
125,113,2,2023-06-01,,monthly,active
126,114,3,2024-09-10,2024-10-13,annual,cancelled
127,114,1,01/06/2025,,annual,active
128,115,3,02/14/2023,,annual,active
129,116,2,09/08/2024,2024-11-29,monthly,cancelled
130,117,1,08-Oct-2023,,monthly,active
131,118,2,27-Sep-2023,,monthly,active
132,119,1,12/23/2025,,monthly,active
133,120,2,11/24/2024,2025-02-11,annual,cancelled
134,120,2,13/03/2025,,annual,active
135,121,2,24/03/2025,2025-06-25,annual,cancelled
136,121,3,10/08/2025,,annual,active
137,122,1,20/07/2025,2025-09-25,annual,cancelled
138,123,1,08/23/2025,,annual,active
139,124,3,08-Aug-2025,,monthly,active
140,125,1,2023-08-26,,monthly,active
141,126,3,29-Apr-2025,,annual,active
142,127,1,20/03/2024,,monthly,active
143,128,1,05-May-2023,2023-09-17,annual,cancelled
144,129,1,13-Feb-2023,,annual,active
145,130,1,03/18/2024,,monthly,active
146,131,2,24/09/2023,2024-01-11,monthly,cancelled
147,132,2,25/10/2024,,monthly,active
148,133,3,2025-07-07,,monthly,active
149,134,1,12/03/2025,,monthly,active
150,135,2,10-Jan-2025,,annual,active
151,136,1,2024-10-27,,monthly,active
152,137,1,16-Mar-2024,,monthly,active
153,138,2,02/10/2024,,monthly,active
154,139,2,2023-07-10,2023-08-21,monthly,cancelled
155,139,1,12-Oct-2023,,monthly,active
156,140,1,08-Sep-2023,,monthly,active
157,141,1,2024-12-21,,annual,active
158,142,2,24-Aug-2023,2024-10-15,annual,cancelled
159,143,1,01/07/2024,2024-08-18,annual,cancelled
160,144,2,2025-03-31,,monthly,active
161,145,2,11/29/2024,,monthly,active
162,146,2,19/11/2023,2024-12-08,monthly,cancelled
163,147,1,04/28/2025,2025-07-20,annual,cancelled
164,148,1,23/09/2025,2025-10-13,annual,cancelled
165,149,2,08-Mar-2024,,monthly,active
166,150,1,09/22/2023,,monthly,active
167,151,1,06/12/2025,,monthly,active
168,152,1,15/08/2024,,monthly,active
169,153,2,2023-06-30,2024-05-19,annual,cancelled
170,154,1,2024-11-26,,monthly,active
171,155,2,12/20/2024,,monthly,active
172,156,1,10/11/2023,,annual,active
173,157,2,10/23/2024,,monthly,active
174,158,2,26-Apr-2023,2024-04-03,monthly,cancelled
175,159,1,2023-07-04,,annual,active
176,160,1,2024-10-20,2025-11-08,monthly,cancelled
177,161,1,30-Oct-2025,,monthly,active
178,162,1,2025-03-04,,annual,active
179,163,2,03-Feb-2025,2025-03-23,monthly,cancelled
180,164,2,12/17/2024,2025-03-13,annual,cancelled
181,164,3,2025-05-01,,annual,active
182,165,2,03-Nov-2024,2024-12-11,monthly,cancelled
183,165,1,30-Jan-2025,,monthly,active
184,166,1,07-Nov-2025,,monthly,active
185,167,2,2023-11-14,,monthly,active
186,168,1,26-Sep-2023,,monthly,active
187,169,1,21-Apr-2025,,annual,active
188,170,3,25-Sep-2024,,monthly,active
189,171,1,21/02/2025,,annual,active
190,172,2,09/11/2025,2025-11-30,annual,cancelled
