ticket_id,customer_id,created_date,resolved_date,priority,category
1,1,2025-01-10,2025-01-15,Low,Bug Report
2,1,2025-01-06,2025-01-07,Medium,Onboarding
3,2,2025-03-28,2025-03-31,Medium,Login Issue
4,5,2023-08-30,2023-09-07,High,Onboarding
5,5,2024-07-13,2024-07-14,Medium,Feature Request
6,5,2024-04-12,2024-04-25,Urgent,Onboarding
7,5,2025-01-04,2025-01-24,Low,Bug Report
8,6,2025-05-10,2025-05-13,Low,Onboarding
9,10,2023-01-04,2023-01-06,Low,Feature Request
10,12,2025-09-14,2025-09-22,Medium,Login Issue
11,12,2023-09-05,2023-09-14,Low,Login Issue
12,12,2024-10-14,2024-10-21,Medium,Onboarding
13,14,2025-07-01,2025-07-08,Urgent,Bug Report
14,14,2024-06-14,2024-06-19,Medium,Login Issue
15,15,2024-09-03,2024-09-04,Low,Billing
16,15,2024-01-25,2024-01-29,Low,Billing
17,15,2023-08-16,2023-08-18,Medium,Billing
18,16,2025-09-09,,Low,Login Issue
19,16,2024-12-24,2024-12-26,Medium,Feature Request
20,16,2024-06-14,2024-06-16,Low,Bug Report
21,17,2023-03-19,2023-03-21,Medium,Bug Report
22,20,2025-07-15,2025-07-17,Medium,Login Issue
23,21,2023-09-08,2023-09-10,Low,Login Issue
24,21,2025-10-19,2025-10-27,Medium,Billing
25,22,2024-09-11,2024-09-14,Low,Billing
26,22,2024-10-20,2024-10-22,Medium,Bug Report
27,22,2024-05-01,2024-05-03,Low,Feature Request
28,22,2024-12-13,2024-12-17,Medium,Billing
29,22,2024-04-15,2024-04-17,Medium,Bug Report
30,23,2025-08-27,2025-09-12,High,Billing
31,24,2023-04-22,2023-04-25,Medium,Billing
32,24,2024-05-06,2024-05-07,Medium,Billing
33,27,2024-11-23,2024-11-25,Medium,Billing
34,27,2023-04-29,2023-04-30,Low,Billing
35,27,2025-12-15,2025-12-17,Low,Bug Report
36,27,2024-01-29,2024-01-31,High,Billing
37,28,2024-08-16,2024-08-18,Low,Login Issue
38,28,2024-11-27,2024-11-28,High,Feature Request
39,29,2024-08-29,2024-09-08,Low,Feature Request
40,29,2025-02-17,2025-02-18,Medium,Billing
41,29,2025-12-29,2026-01-05,Medium,Billing
42,30,2024-12-08,2024-12-09,Low,Onboarding
43,32,2025-05-14,2025-05-15,Low,Login Issue
44,33,2024-04-09,2024-04-11,Medium,Login Issue
45,33,2024-01-06,2024-01-11,Low,Feature Request
46,34,2023-11-13,2023-12-02,Low,Login Issue
47,34,2024-10-06,2024-10-08,Low,Feature Request
48,34,2025-08-10,2025-08-12,Medium,Login Issue
49,35,2023-11-11,2023-11-12,Low,Feature Request
50,40,2023-10-24,2023-10-31,High,Billing
51,41,2024-06-01,2024-06-08,Low,Bug Report
52,41,2024-01-01,2024-01-04,Low,Onboarding
53,41,2025-09-29,2025-10-01,High,Onboarding
54,43,2025-07-03,2025-07-04,High,Billing
55,43,2025-08-12,2025-08-15,Urgent,Onboarding
56,44,2025-07-24,2025-07-31,Low,Bug Report
57,44,2024-05-18,2024-05-23,Low,Feature Request
58,44,2023-05-06,2023-05-09,Medium,Bug Report
59,45,2025-02-07,2025-02-11,Low,Login Issue
60,45,2024-06-05,2024-06-09,Medium,Feature Request
61,45,2023-06-18,2023-06-24,Low,Feature Request
62,46,2025-07-05,2025-07-06,Medium,Feature Request
63,46,2023-01-08,2023-01-11,High,Bug Report
64,47,2023-06-19,2023-06-20,Low,Feature Request
65,47,2024-11-02,2024-11-12,Low,Billing
66,47,2023-10-11,2023-10-21,Low,Onboarding
67,47,2023-03-04,2023-03-05,Low,Onboarding
68,47,2025-11-23,,Medium,Login Issue
69,48,2023-03-20,2023-03-26,Medium,Onboarding
70,51,2025-07-08,2025-07-11,Low,Login Issue
71,53,2023-11-26,2023-12-02,Medium,Onboarding
72,54,2023-11-07,2023-11-08,High,Bug Report
73,54,2024-05-27,2024-06-07,Medium,Billing
74,55,2025-12-31,2026-01-04,Medium,Billing
75,56,2024-04-23,2024-04-24,Low,Bug Report
76,57,2025-02-28,2025-03-02,Low,Bug Report
77,57,2025-09-30,2025-10-03,Low,Login Issue
78,57,2024-02-13,2024-02-22,Medium,Bug Report
79,57,2025-03-27,2025-04-02,High,Billing
80,57,2025-12-30,2025-12-31,Low,Feature Request
81,58,2024-11-14,2024-11-15,Medium,Onboarding
82,58,2025-03-17,2025-03-18,Low,Onboarding
83,58,2024-06-16,2024-06-17,Low,Bug Report
84,59,2024-11-22,,Low,Bug Report
85,59,2025-09-17,2025-09-19,Low,Bug Report
86,59,2024-03-22,2024-03-29,Medium,Billing
