customer_id,month,login_count,feature_usage_count
1,2024-07,19,5
1,2024-08,15,11
1,2024-09,15,11
1,2024-10,13,9
1,2024-11,7,2
1,2024-12,10,1
2,2023-03,0,5
2,2023-04,15,6
2,2023-05,9,7
2,2023-06,5,6
2,2023-07,6,4
2,2023-08,11,2
2,2023-09,13,3
2,2023-10,9,0
2,2023-11,10,9
2,2023-12,5,1
2,2024-01,9,9
2,2024-02,2,1
2,2024-03,6,2
2,2024-04,4,0
2,2024-05,10,5
2,2024-06,1,9
2,2024-07,14,2
2,2024-08,12,3
2,2024-09,8,2
2,2024-10,16,3
2,2024-11,8,2
2,2024-12,15,10
2,2025-01,14,7
2,2025-02,5,7
2,2025-03,7,8
2,2025-04,12,2
2,2025-05,11,6
2,2025-06,0,7
2,2025-07,6,2
2,2025-08,4,4
2,2025-09,9,0
2,2025-10,8,6
2,2025-11,15,1
2,2025-12,6,5
3,2023-01,14,3
3,2023-02,15,12
3,2023-03,19,10
3,2023-04,10,3
3,2023-05,7,0
3,2023-06,15,7
3,2023-07,16,12
3,2023-08,13,8
3,2023-09,11,6
3,2023-10,15,7
3,2023-11,11,7
3,2023-12,16,5
3,2024-01,12,8
3,2024-02,14,5
3,2024-03,3,2
3,2024-04,7,8
3,2024-06,18,19
3,2024-07,30,15
3,2024-08,28,18
3,2024-09,21,15
3,2024-10,31,13
3,2024-11,29,12
3,2024-12,29,16
3,2025-01,21,20
3,2025-02,25,14
3,2025-03,28,20
3,2025-04,23,16
3,2025-05,29,18
3,2025-06,28,15
3,2025-07,24,17
3,2025-08,23,8
3,2025-09,29,19
3,2025-10,18,13
3,2025-11,30,22
3,2025-12,28,14
4,2023-07,35,20
4,2023-08,34,25
4,2023-09,38,19
4,2023-10,41,21
4,2023-11,36,18
4,2023-12,33,18
4,2024-01,35,22
4,2024-02,36,25
4,2024-03,31,21
4,2024-04,29,18
4,2024-05,40,19
4,2024-06,31,14
4,2024-07,31,20
4,2024-08,29,20
4,2024-09,40,18
4,2024-10,31,17
4,2024-11,30,22
4,2024-12,35,23
4,2025-01,43,15
4,2025-02,36,17
4,2025-03,38,20
4,2025-04,35,17
4,2025-05,33,21
4,2025-06,40,18
4,2025-07,32,23
4,2025-08,31,24
